ts,protocol,source,device,message,word_count,action_category,actual_latency_ms,cascaded_latency_ms,improvement_pct,asr_ms,llm_ms,tts_ms,direct_system,cascaded_system
1777892211.123,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,73.7,2273.7,96.76,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892213.927,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,54.74,2254.74,97.57,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892216.941,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,32.56,2232.56,98.54,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892218.356,adaptive,det,iphone,"Chair left, 2.0 meters.",4,info,584.33,2784.33,79.01,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892221.338,adaptive,det,iphone,"Obstacle on your left, move right.",6,directional,70.33,2270.33,96.9,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892222.109,adaptive,det,iphone,"Houseplant left, 2.7 meters.",4,info,25.13,2225.13,98.87,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892222.489,adaptive,det,iphone,"Obstacle on your left, move right.",6,directional,22.8,2222.8,98.97,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892225.792,adaptive,guide,iphone,"Obstacle on your right, move left.",6,directional,18.37,2218.37,99.17,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892228.432,adaptive,det,iphone,"Person ahead, 4.3 meters.",4,info,1458.04,3658.04,60.14,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892228.978,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,63.41,2263.41,97.2,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892232.058,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,21.46,2221.46,99.03,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892233.523,adaptive,det,iphone,"Woman ahead, 2.6 meters.",4,info,785.48,2985.48,73.69,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892236.249,adaptive,det,iphone,"Obstacle ahead, move right.",4,directional,1749.78,3949.78,55.7,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892240.558,adaptive,det,iphone,Stop. Obstacle ahead.,3,stop,26.22,2226.22,98.82,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
